#K-Path          Energy     s      p      d    tot
# NKPTS & NBANDS: 200  40
# Band-Index    1
   1.12800     -7.213229  0.000  0.432  0.000  0.432
   1.11316     -7.179756  0.000  0.434  0.000  0.434
   1.09832     -7.144886  0.000  0.434  0.000  0.434
   1.08347     -7.108625  0.000  0.434  0.000  0.434
   1.06863     -7.070975  0.000  0.434  0.000  0.434
   1.05379     -7.031942  0.000  0.434  0.000  0.434
   1.03895     -6.991530  0.000  0.434  0.000  0.434
   1.02410     -6.949743  0.000  0.434  0.000  0.434
   1.00926     -6.906588  0.000  0.436  0.000  0.436
   0.99442     -6.862068  0.000  0.436  0.000  0.436
   0.97958     -6.816190  0.000  0.436  0.000  0.436
   0.96474     -6.768960  0.000  0.436  0.000  0.436
   0.94989     -6.720384  0.000  0.436  0.000  0.436
   0.93505     -6.670470  0.000  0.438  0.000  0.438
   0.92021     -6.619223  0.000  0.438  0.000  0.438
   0.90537     -6.566651  0.000  0.438  0.000  0.438
   0.89053     -6.512763  0.000  0.438  0.000  0.438
   0.87568     -6.457567  0.000  0.438  0.000  0.438
   0.86084     -6.401071  0.000  0.440  0.000  0.440
   0.84600     -6.430656  0.160  0.608  0.000  0.768
   0.83116     -6.559591  0.166  0.600  0.000  0.766
   0.81632     -6.689277  0.170  0.594  0.000  0.764
   0.80147     -6.819641  0.176  0.586  0.000  0.762
   0.78663     -6.950617  0.180  0.580  0.000  0.762
   0.77179     -7.082134  0.186  0.574  0.000  0.760
   0.75695     -7.214138  0.190  0.568  0.000  0.758
   0.74210     -7.346566  0.196  0.560  0.000  0.756
   0.72726     -7.479354  0.200  0.554  0.000  0.754
   0.71242     -7.612450  0.206  0.548  0.000  0.752
   0.69758     -7.745798  0.210  0.542  0.000  0.752
   0.68274     -7.879335  0.214  0.534  0.000  0.750
   0.66789     -8.013030  0.220  0.528  0.000  0.748
   0.65305     -8.146825  0.224  0.522  0.000  0.746
   0.63821     -8.280671  0.228  0.516  0.000  0.746
   0.62337     -8.414514  0.234  0.510  0.000  0.744
   0.60853     -8.548331  0.238  0.504  0.000  0.742
   0.59368     -8.682054  0.242  0.498  0.000  0.740
   0.57884     -8.815659  0.248  0.492  0.000  0.738
   0.56400     -8.949109  0.252  0.486  0.000  0.738
   0.54916     -9.082357  0.256  0.480  0.000  0.736
   0.53432     -9.215361  0.260  0.474  0.000  0.734
   0.51947     -9.348090  0.264  0.468  0.000  0.732
   0.50463     -9.480503  0.268  0.462  0.000  0.732
   0.48979     -9.612567  0.274  0.456  0.000  0.730
   0.47495     -9.744245  0.278  0.452  0.000  0.728
